0,1,2,3
2009-05-29,72.359375,59.871872,0.71419823
2009-05-30,67.015625,52.559372,0.0
2009-05-31,68.5625,46.294533,0.0
2009-06-01,67.52187,35.691406,0.0
2009-06-02,70.55937,47.342186,0.120109566
2009-06-03,73.765625,57.32656,0.02652868
2009-06-04,59.80156,49.521873,0.44845006
2009-06-05,62.346874,51.63125,0.18408598
2009-06-06,57.340622,52.15156,0.16147894
2009-06-07,75.03125,49.507812,0.0
2009-06-08,78.51875,57.340622,0.0
2009-06-09,78.49062,61.503124,0.14233214
2009-06-10,80.68437,55.653122,0.0
2009-06-11,75.34062,60.054688,0.050135363
2009-06-12,70.7,62.684372,0.446297
2009-06-13,73.45625,57.354687,0.075164594
2009-06-14,74.58125,46.68125,0.0
2009-06-15,75.087494,48.228127,0.0
2009-06-16,77.16875,50.028122,0.0
2009-06-17,68.30937,56.918747,0.0
2009-06-18,60.36406,56.46875,0.6643705
2009-06-19,69.20937,57.453125,0.017282091
2009-06-20,75.56563,59.717186,0.51457953
2009-06-21,74.328125,60.223434,0.8243115
2009-06-22,72.556244,56.8625,0.0
2009-06-23,79.3625,53.445312,0.0
2009-06-24,79.98125,52.601562,0.0
2009-06-25,83.328125,54.879684,0.0
2009-06-26,84.875,61.025,0.06693686
2009-06-27,78.6875,54.978127,0.0
2009-06-28,77.95625,55.04844,0.0
2009-06-29,68.50625,54.064064,0.22222577
2009-06-30,75.81875,58.775,0.051096547
2009-07-01,70.8125,54.275,0.30711755
2009-07-02,73.90625,57.3125,0.09219678
2009-07-03,70.27812,58.4375,0.1489451
2009-07-04,69.29375,56.69375,0.06659084
2009-07-05,71.6,47.440624,0.0
2009-07-06,73.625,48.509377,0.0
2009-07-07,77.64687,51.223434,0.0
2009-07-08,76.4375,46.948437,0.0
2009-07-09,71.06563,48.790627,0.0
2009-07-10,75.368744,52.99531,0.0
2009-07-11,75.39687,60.884377,0.0
2009-07-12,75.50937,58.479687,0.45552438
2009-07-13,74.524994,50.675,0.0
2009-07-14,73.399994,44.747658,0.0
2009-07-15,74.6375,46.2875,0.0
2009-07-16,78.96875,56.623436,0.0062573086
2009-07-17,83.13125,57.734375,0.0
2009-07-18,71.57187,55.04844,0.46475175
2009-07-19,67.60625,51.293747,0.0
2009-07-20,73.31563,52.376564,0.0
2009-07-21,76.015625,57.0875,0.025144577
2009-07-22,75.50937,55.90625,0.08589141
2009-07-23,75.05937,61.053123,0.11764894
2009-07-24,75.453125,59.675,1.4394693
2009-07-25,76.71875,54.851562,0.015465452
2009-07-26,79.19375,60.4625,0.3601749
2009-07-27,76.94375,61.278122,0.043291733
2009-07-28,79.84062,56.848434,0.0
2009-07-29,81.86562,59.61875,0.0
2009-07-30,71.6,62.796875,0.5665604
2009-07-31,78.49062,66.11562,0.07082005
2009-08-01,71.85312,61.221874,0.9959405
2009-08-02,80.0375,62.65625,0.042599678
2009-08-03,76.8875,53.965622,0.059785653
2009-08-04,76.6625,55.442184,0.0
2009-08-05,79.78438,60.940624,0.012274321
2009-08-06,77.056244,50.52031,0.0
2009-08-07,73.00625,48.04531,0.0
2009-08-08,74.35625,55.315624,0.0
2009-08-09,76.578125,61.19375,0.25713596
2009-08-10,84.931244,68.618744,0.0030685803
2009-08-11,86.16875,64.87813,0.2145363
2009-08-12,80.12187,62.459373,0.03550614
2009-08-13,78.32187,58.873436,0.53487974
2009-08-14,80.57187,59.52031,0.0
2009-08-15,82.42812,60.96875,0.0
2009-08-16,84.03125,61.475,0.0
2009-08-17,85.69063,61.278122,0.0
2009-08-18,87.20937,62.88125,0.0
2009-08-19,83.10312,66.22812,0.31865177
2009-08-20,81.52812,64.7375,0.0001573939
2009-08-21,83.21562,67.40938,0.0132258935
2009-08-22,79.475,61.221874,0.16470851
2009-08-23,77.984375,60.617188,0.0
2009-08-24,75.453125,53.31875,0.0
2009-08-25,76.60625,53.684372,0.0
2009-08-26,79.89687,55.512497,0.0
2009-08-27,80.96562,61.025,0.02187655
2009-08-28,68.19687,60.856247,0.038697273
2009-08-29,66.11562,60.9125,1.0543805
2009-08-30,76.04375,52.601562,0.019166011
2009-08-31,69.37813,48.81875,0.0
2009-09-01,65.243744,40.296875,0.0
2009-09-02,68.39375,42.364063,0.0
2009-09-03,72.13437,43.390625,0.0
2009-09-04,74.21562,46.85,0.0
2009-09-05,76.40938,48.664062,0.0
2009-09-06,76.94375,48.171875,0.0
2009-09-07,74.77812,54.345314,0.0
2009-09-08,65.72188,60.265625,0.0169649
2009-09-09,69.265625,57.03125,0.0
2009-09-10,71.57187,57.439064,0.03404514
2009-09-11,66.453125,49.310936,0.0
2009-09-12,57.467186,52.54531,1.024853
2009-09-13,65.524994,53.27656,0.019992629
2009-09-14,74.10312,55.160934,0.0
2009-09-15,74.35625,51.321877,0.0
2009-09-16,74.94687,51.9125,0.0
2009-09-17,66.2,52.3625,0.0
2009-09-18,59.29531,55.56875,0.0
2009-09-19,72.47188,41.766407,0.0
2009-09-20,68.08437,38.17344,0.0
2009-09-21,72.05,42.096874,0.0
2009-09-22,73.14687,57.734375,0.0
2009-09-23,71.825,61.671875,0.027912786
2009-09-24,77.81563,59.9,0.24483281
2009-09-25,72.078125,52.77031,0.0
2009-09-26,67.40938,50.253124,0.0
2009-09-27,56.117188,51.87031,0.9454976
2009-09-28,60.785934,50.168747,0.32449576
2009-09-29,65.58125,50.5625,0.4389151
2009-09-30,53.979687,49.62031,0.017676177
2009-10-01,54.626564,42.125,0.0
2009-10-02,54.148438,35.694923,0.013889111
2009-10-03,56.98906,41.11953,0.4007753
2009-10-04,65.21562,42.87031,0.0
2009-10-05,57.382812,42.2375,0.0
2009-10-06,58.071877,35.96914,0.0
2009-10-07,62.43125,39.727345,0.06532207
2009-10-08,55.695312,43.8125,0.0
2009-10-09,62.178123,45.914845,0.09465741
2009-10-10,63.415627,52.418747,0.37739933
2009-10-11,55.765625,36.21172,0.0
2009-10-12,54.035934,33.29551,0.0
2009-10-13,47.8625,37.702343,3.9348473e-05
2009-10-14,54.542187,28.679493,0.0
2009-10-15,43.42578,31.604053,0.04582926
2009-10-16,37.09414,32.09179,1.1718757
2009-10-17,34.41875,32.268066,0.25605944
2009-10-18,36.717968,32.944824,0.31126985
2009-10-19,48.382812,25.327343,0.0
2009-10-20,53.726562,29.241993,0.0
2009-10-21,65.1875,38.56719,0.0
2009-10-22,69.32187,42.28672,0.0
2009-10-23,70.22188,44.21328,0.0
2009-10-24,59.998436,50.759377,1.2930617
2009-10-25,62.515625,43.13047,0.9202761
2009-10-26,58.226562,32.772118,0.0
2009-10-27,59.435936,34.00918,0.0
2009-10-28,55.32969,45.267967,0.5936273
2009-10-29,57.242188,50.54844,0.07635646
2009-10-30,56.4125,50.46406,0.0
2009-10-31,55.175,51.06875,0.0
2009-11-01,59.309372,39.664062,0.078317285
2009-11-02,51.251564,27.89375,0.0
2009-11-03,53.543747,29.127735,0.0
2009-11-04,51.209373,26.304688,0.0
2009-11-05,42.69453,27.264454,0.0
2009-11-06,41.639843,31.616796,0.051288784
2009-11-07,44.26953,24.209375,0.0
2009-11-08,55.273438,25.5875,0.0
2009-11-09,68.75937,37.860546,0.0
2009-11-10,64.59688,40.135155,0.0
2009-11-11,57.228127,41.885937,0.0
2009-11-12,48.81875,33.76133,0.0
2009-11-13,49.39531,34.25176,0.0
2009-11-14,58.98594,39.06289,0.0
2009-11-15,56.721874,38.032814,0.0
